PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE
5329102,Active,
134129989,Unspecified,
134130055,Active,
134130101,Active,
134130155,Unspecified,
134130263,Unspecified,
134130382,Unspecified,
134130393,Active,
134130444,Unspecified,
134130550,Unspecified,
83525305,Unspecified,
134130677,Active,
134130691,Unspecified,
134130911,Unspecified,
134131048,Unspecified,
134131142,Unspecified,
134131211,Unspecified,
134131279,Active,
134131368,Active,
134131477,Unspecified,
134131566,Unspecified,
