PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE
441612,Unspecified,
44307147,Unspecified,
9960732,Unspecified,
10579719,Unspecified,
10724271,Unspecified,
10580086,Unspecified,
10794141,Unspecified,
10555859,Unspecified,
10556060,Unspecified,
10603957,Unspecified,
11802006,Unspecified,
10009264,Unspecified,
127149,Unspecified,
9873339,Unspecified,
46905041,Unspecified,
