PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE
3385,Active,
127048516,Active,
127048517,Unspecified,
127048518,Active,
127048519,Active,
127048845,Active,
127048846,Unspecified,
127048847,Active,
127049176,Active,
127049832,Active,
127049833,Active,
127050126,Unspecified,
127050140,Active,
127050141,Active,
127051367,Unspecified,
127051641,Unspecified,
127051642,Unspecified,
127051643,Unspecified,
127051702,Unspecified,
127051703,Unspecified,
127051704,Unspecified,
127051977,Unspecified,
127051978,Unspecified,
127051979,Unspecified,
127051980,Unspecified,
127052923,Active,
127052924,Active,
