PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,smiles,AID,match,murcko,gen_murcko
6758,Unspecified,,C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1,144504,False,O=C1c2ccc3c(c2OC2COc4ccccc4C12)CCO3,CC1C2CCC3CCCC3C2CC2CCC3CCCCC3C21
44353614,Unspecified,,CCCCCCCCCCCC[C@H](O)[C@@H]1CC[C@@H]([C@@H](O)CCCC[C@@H](O)CCCCC[C@@H](O)CC2=C[C@H](C)OC2=O)O1,144504,True,O=C1OCC=C1CCCCCCCCCCCCCC1CCCO1,CC1CCCC1CCCCCCCCCCCCCC1CCCC1
44353625,Unspecified,,CCCCCCCCCCCC[C@H](O)[C@@H]1CC[C@@H]([C@@H](O)CCCC[C@@H](O)CCCCC[C@@H](O)CC2(O)C(=O)O[C@@H](C)C2O)O1,144504,False,O=C1OCCC1CCCCCCCCCCCCCC1CCCO1,CC1CCCC1CCCCCCCCCCCCCC1CCCC1
44353659,Unspecified,,CCCCCCCCCCC[C@H](O)[C@@H]1CC[C@@H]([C@@H](O)CCCC[C@@H](O)CCCCC[C@@H]2CC(C/C(C)=N/O)C(=O)O2)O1,144504,False,O=C1CCC(CCCCCCCCCCCC2CCCO2)O1,CC1CCC(CCCCCCCCCCCC2CCCC2)C1
44353660,Unspecified,,CCCCCCCCCCCC[C@H](O)[C@@H]1CC[C@@H]([C@@H](O)CCCC[C@@H](O)CCCCC[C@@H]2CC(CC(C)O)C(=O)O2)O1,144504,False,O=C1CCC(CCCCCCCCCCCC2CCCO2)O1,CC1CCC(CCCCCCCCCCCC2CCCC2)C1
44353764,Unspecified,,CCCCCCCCCCCC[C@H](O)[C@@H]1CC[C@@H]([C@@H](O)CCCC/C(CCCCC[C@@H](O)CC2=C[C@H](C)OC2=O)=N\O)O1,144504,True,N=C(CCCCCCCC1=CCOC1=O)CCCCCC1CCCO1,CC(CCCCCCCC1CCCC1C)CCCCCC1CCCC1
44353765,Unspecified,,CCCCCCCCCCCC[C@H](O)[C@@H]1CC[C@@H]([C@@H](O)CCCC[C@@H](O)CCCCC[C@@H]2CC(CC(C)=O)C(=O)O2)O1,144504,False,O=C1CCC(CCCCCCCCCCCC2CCCO2)O1,CC1CCC(CCCCCCCCCCCC2CCCC2)C1
44353866,Unspecified,,CCCCCCCCCCCC[C@H](O)[C@@H]1CC[C@@H]([C@@H](O)CCCCC(=O)CCCCC[C@@H]2CC(CC(C)=O)C(=O)O2)O1,144504,False,O=C(CCCCCC1CCCO1)CCCCCC1CCC(=O)O1,CC(CCCCCC1CCCC1)CCCCCC1CCC(C)C1
44353868,Unspecified,,CCCCCCCCCCCC[C@H](O)[C@@H]1CC[C@@H]([C@@H](O)CCCCC(=O)CCCCC[C@@H](O)CC2=C[C@H](C)OC2=O)O1,144504,True,O=C(CCCCCCCC1=CCOC1=O)CCCCCC1CCCO1,CC(CCCCCCCC1CCCC1C)CCCCCC1CCCC1
44353869,Unspecified,,CCCCCCCCCCCC[C@H](O)[C@@H]1CC[C@@H]([C@@H](O)CCCC[C@@H](O)CCCCC[C@@H](O)CC2C[C@H](C)OC2=O)O1,144504,False,O=C1OCCC1CCCCCCCCCCCCCC1CCCO1,CC1CCCC1CCCCCCCCCCCCCC1CCCC1
