PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Activity Comment
RESULT_TYPE,,,,,,,STRING,STRING
RESULT_DESCR,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Additional comments
1,194138063,76309820,Active,,,Potential missing data,Activity,Active
2,194138064,76309821,Active,,,Potential missing data,Activity,Active
3,194144956,76313539,Active,,,Potential missing data,Activity,Active
4,194151789,76317049,Active,,,Potential missing data,Activity,Active
5,194158763,76320758,Active,,,Potential missing data,Activity,Active
6,194158764,76320759,Active,,,Potential missing data,Activity,Active
7,194165748,76324422,Active,,,Potential missing data,Activity,Active
8,194165749,76324423,Active,,,Potential missing data,Activity,Active
9,194165750,76324424,Active,,,Potential missing data,Activity,Active
10,194172595,76327976,Active,,,Potential missing data,Activity,Active
11,194172597,76327978,Active,,,Potential missing data,Activity,Active
12,194179421,76331629,Active,,,Potential missing data,Activity,Active
