PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,,
1,103166269,6758,Unspecified,,,,202,ED50,=,202,uM,Non standard unit for type
2,103386719,10531927,Unspecified,,,,71,ED50,=,71,uM,Non standard unit for type
3,103518098,44423797,Unspecified,,,,169,ED50,=,169,uM,Non standard unit for type
4,103518099,44423798,Unspecified,,,,154,ED50,=,154,uM,Non standard unit for type
5,103518100,10604803,Unspecified,,,,195,ED50,=,195,uM,Non standard unit for type
6,123097261,31703,Unspecified,,,,274,ED50,=,274,uM,Non standard unit for type
