PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,
1,103223867,460612,Unspecified,,,,57.5,IC50,=,57500,nM
2,103507642,3385,Active,,,,7.94,IC50,=,7940,nM
3,160699116,54753797,Active,,,,0.04,IC50,=,40,nM
4,174506836,71699538,Active,,,,0.21,IC50,=,210,nM
5,174506837,73352015,Active,,,,11.2,IC50,=,11200,nM
6,174506838,71699540,Active,,,,0.3,IC50,=,300,nM
7,174506839,73352016,Active,,,,0.13,IC50,=,130,nM
8,174506840,73352017,Active,,,,0.04,IC50,=,40,nM
9,174506842,73352019,Active,,,,0.16,IC50,=,160,nM
10,174511971,73353478,Active,,,,0.17,IC50,=,170,nM
11,174511972,73353479,Active,,,,0.69,IC50,=,690,nM
12,174522214,73356538,Active,,,,0.16,IC50,=,160,nM
13,312348076,71699613,Active,,,,0.06,IC50,=,60,nM
