PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,
1,103223867,460612,Active,,,,3.24,IC50,=,3240,nM
2,103507642,3385,Unspecified,,,,60.3,IC50,=,60300,nM
3,160699116,54753797,Active,,,,0.02,IC50,=,20,nM
4,174506836,71699538,Active,,,,0.02,IC50,=,20,nM
5,174506837,73352015,Active,,,,1.78,IC50,=,1780,nM
6,174506838,71699540,Active,,,,0.16,IC50,=,160,nM
7,174506839,73352016,Active,,,,0.03,IC50,=,30,nM
8,174506840,73352017,Active,,,,0.01,IC50,=,10,nM
9,174506842,73352019,Active,,,,0.04,IC50,=,40,nM
10,174511971,73353478,Active,,,,0.05,IC50,=,50,nM
11,174511972,73353479,Active,,,,0.46,IC50,=,460,nM
12,174522214,73356538,Active,,,,0.01,IC50,=,10,nM
13,312348076,71699613,Active,,,,0.02,IC50,=,20,nM
