PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,
1,103507642,3385,Active,,,,8.317,IC50,=,8317,nM
2,123097261,31703,Active,,,,1.258,IC50,=,1258,nM
3,318388686,122189523,Active,,,,48,IC50,=,48000,nM
4,318388687,122189524,Unspecified,,,,50,IC50,>,50000,nM
5,318388688,122189525,Unspecified,,,,50,IC50,>,50000,nM
6,318388689,122189526,Unspecified,,,,50,IC50,>,50000,nM
7,318388690,122189527,Unspecified,,,,50,IC50,>,50000,nM
8,318388691,122189528,Unspecified,,,,50,IC50,>,50000,nM
9,318388692,122189529,Active,,,,15.14,IC50,=,15140,nM
10,318388693,122189530,Active,,,,31.47,IC50,=,31470,nM
11,318388694,122189531,Active,,,,11.24,IC50,=,11240,nM
12,318388695,122189532,Unspecified,,,,50,IC50,>,50000,nM
13,318388696,122189533,Unspecified,,,,50,IC50,>,50000,nM
14,318388697,122189534,Unspecified,,,,50,IC50,>,50000,nM
15,318388698,122189535,Active,,,,15.48,IC50,=,15480,nM
16,318388699,122189536,Active,,,,14.61,IC50,=,14610,nM
17,318388700,122189537,Unspecified,,,,50,IC50,>,50000,nM
18,318388701,122189538,Active,,,,12.02,IC50,=,12020,nM
19,318388702,122189539,Active,,,,21.4,IC50,=,21400,nM
20,318388703,122189540,Active,,,,22.27,IC50,=,22270,nM
21,318388704,122189541,Active,,,,10.23,IC50,=,10230,nM
22,318388705,122189542,Active,,,,18.19,IC50,=,18190,nM
