PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,
1,103738356,135976586,Unspecified,,,,30,IC50,>,30000,nM
2,103738357,135976587,Active,,,,2.33,IC50,=,2330,nM
3,103738358,54738543,Active,,,,0.299,IC50,=,299,nM
4,103738359,54738544,Active,,,,0.024,IC50,=,24,nM
5,103738360,54738545,Unspecified,,,,30,IC50,>,30000,nM
6,103738361,46880253,Active,,,,1.94,IC50,=,1940,nM
7,103738431,46880295,Unspecified,,,,30,IC50,>,30000,nM
8,103738432,46880296,Active,,,,13.95,IC50,=,13950,nM
9,103738433,46880297,Unspecified,,,,30,IC50,>,30000,nM
10,103738434,46880298,Unspecified,,,,30,IC50,>,30000,nM
11,103738435,54676868,Active,,,,0.011,IC50,=,11,nM
12,103738436,213013,Active,,,,0.245,IC50,=,245,nM
13,103739321,46880857,Unspecified,,,,30,IC50,>,30000,nM
14,103739322,46880858,Unspecified,,,,30,IC50,>,30000,nM
15,103739323,46880859,Unspecified,,,,30,IC50,>,30000,nM
16,103739324,46880860,Unspecified,,,,30,IC50,>,30000,nM
17,103739389,46880902,Active,,,,2.98,IC50,=,2980,nM
18,103739390,46880903,Active,,,,26.7,IC50,=,26700,nM
19,103739391,46880904,Unspecified,,,,30,IC50,>,30000,nM
20,103739392,46880905,Active,,,,4.08,IC50,=,4080,nM
21,103739393,46880906,Active,,,,2.75,IC50,=,2750,nM
22,103739394,46880907,Active,,,,20.7,IC50,=,20700,nM
23,103739458,54738546,Active,,,,2.58,IC50,=,2580,nM
24,103739459,54738547,Active,,,,0.122,IC50,=,122,nM
25,103739460,54738548,Active,,,,1.78,IC50,=,1780,nM
26,103739461,54738549,Active,,,,0.234,IC50,=,234,nM
27,103739462,54738550,Active,,,,0.004,IC50,=,4,nM
28,103739463,54738551,Active,,,,0.051,IC50,=,51,nM
