PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,
1,103223867,460612,Active,,,,26.9,IC50,=,26900,nM
2,103507642,3385,Active,,,,18.6,IC50,=,18600,nM
3,160699116,54753797,Active,,,,0.07,IC50,=,70,nM
4,174506836,71699538,Active,,,,0.18,IC50,=,180,nM
5,174506837,73352015,Active,,,,3.8,IC50,=,3800,nM
6,174506838,71699540,Active,,,,0.32,IC50,=,320,nM
7,174506839,73352016,Active,,,,0.05,IC50,=,50,nM
8,174506840,73352017,Active,,,,0.05,IC50,=,50,nM
9,174506842,73352019,Active,,,,0.06,IC50,=,60,nM
10,174511971,73353478,Active,,,,0.15,IC50,=,150,nM
11,174511972,73353479,Active,,,,0.76,IC50,=,760,nM
12,174522214,73356538,Active,,,,0.03,IC50,=,30,nM
13,312348076,71699613,Active,,,,0.03,IC50,=,30,nM
